,Q,RAIN,T2,G,surfM,N,LWin,LWout,H,LE,B,QRR,ME,U2,EVAPORATION,SUBLIMATION,CONDENSATION,DEPOSITION,RH2,date
2022-08-01 22:00:00,0.0,0.0,4.54407564051013,7.9,0.6214144487285195,0.9199999999999999,327.0,-307.7911234129334,17.741910221143854,5.180641806363787,-0.055738110203815715,0.0,43.57781680425916,3.1199999999999997,0.0,0.0,3.2178189180875787e-06,3.742329995656558e-06,80.5,2022-08-01 22:00:00
2022-08-01 23:00:00,0.0,0.0,4.08405366785388,0.2,0.2534088462559294,0.7699999999999998,311.1,-307.7905585268127,10.38011760112442,4.18347412896414,-0.14135961895924273,0.0,17.77075557434291,2.44,0.0,0.0,1.765895366235077e-06,3.756446171024422e-06,84.69999694824219,2022-08-01 23:00:00
2022-08-02 00:00:00,0.0,0.0,4.22406831629138,0.0,0.02433733606912156,0.5,286.0,-307.7552190060954,17.215177661589095,6.339541426258014,-0.09779406171245851,0.0,1.7066998923084322,3.149999999999999,0.0,0.0,3.0873102728495284e-06,5.32959543133558e-06,83.4000015258789,2022-08-02 00:00:00
2022-08-02 01:00:00,0.0,0.0,4.10407319910388,0.0,0.5749892023662307,0.8100000000000005,315.0,-307.79112341293,24.940620881488975,8.320070102754073,-0.14740548381803856,0.0,40.32216208749497,4.1000000000000005,0.0,0.0,4.88390340599287e-06,6.260583576193537e-06,83.19999694824219,2022-08-02 01:00:00
2022-08-02 02:00:00,0.0,0.0,4.384071978400755,0.0,0.6793511529496009,0.8499999999999998,319.8,-307.79112341292904,28.193355033641907,7.58352631301064,-0.1450245237195914,0.0,47.64073341000393,4.299999999999999,0.0,0.0,4.6038302574809816e-06,5.572025082263884e-06,80.5999984741211,2022-08-02 02:00:00
2022-08-02 03:00:00,0.0,0.0,4.374062212775755,1.0,0.6127554365171636,0.7599999999999999,311.6,-307.79022898342464,29.74381408290227,9.338255402983402,-0.13561051560241852,0.0,42.97058784679866,4.480000000000002,0.0,0.0,6.923314975923239e-08,1.1801212623973948e-05,81.30000305175781,2022-08-02 03:00:00
2022-08-02 04:00:00,0.0,0.0,4.624062212775755,9.4,0.8742737752044007,0.9399999999999995,329.4,-307.79112341293614,29.135491985618106,8.637905284669852,-0.13096000668234667,0.0,61.31003630601114,4.25,0.0,0.0,1.2438583609924586e-05,0.0,80.80000305175781,2022-08-02 04:00:00
2022-08-02 05:00:00,0.0,0.0,5.184059771369505,36.1,0.8350660686641882,0.75,314.1,-307.79112341293614,34.00089811326997,10.175194786630403,-0.002752329377907411,0.0,58.56052467746679,4.43,0.0,0.0,1.465228049274778e-05,0.0,78.69999694824219,2022-08-02 05:00:00
2022-08-02 06:00:00,0.0,0.0,4.33405366785388,73.5,0.9182174568717096,0.8800000000000002,322.4,-307.79112341293614,25.411576048661473,7.58311460839542,0.0,0.0,64.39166679162489,4.0,0.0,0.0,1.0919685036089403e-05,0.0,82.0,2022-08-02 06:00:00
2022-08-02 07:00:00,0.00019573420275181456,0.0,4.624062212775755,150.1,1.461819166014306,0.9600000000000003,331.1,-307.79112341293614,35.92049582712529,8.308836550463019,0.0,0.0,102.51272391214795,4.97,0.0,0.0,1.1964724632666743e-05,0.0,79.0999984741211,2022-08-02 07:00:00
2022-08-02 08:00:00,0.0014049192211122196,0.0,4.264076861213255,355.9,1.9236510255322083,0.8499999999999998,319.4,-307.79112341293614,33.75082846282458,4.865980493671188,0.0,0.0,134.8995218207268,5.009999999999999,0.0,0.0,7.00701191088651e-06,0.0,78.5,2022-08-02 08:00:00
2022-08-02 09:00:00,0.0012049008509256985,0.0,4.54407564051013,303.6,1.5558160601723807,0.62,298.6,-307.79112341293614,40.02685031427266,4.462748713715477,0.0,0.0,109.10442682824707,5.37,0.0,0.0,6.426358147750287e-06,0.0,76.4000015258789,2022-08-02 09:00:00
2022-08-02 10:00:00,0.001825719096154248,0.0,5.254067095588255,384.1,2.389831334717088,0.8699999999999998,325.4,-307.790244453628,50.91264691224524,3.8435477887183893,0.0013004739144368098,0.0,167.59126265967652,5.829999999999999,-3.5662796991550963e-09,0.0,5.536445900784918e-06,1.613615621664331e-09,72.0999984741211,2022-08-02 10:00:00
2022-08-02 11:00:00,0.0019115053796200585,0.0,5.45404878504138,399.6,2.478319376638242,0.8100000000000005,320.8,-307.79112341293614,53.6600422899699,5.932890198299366,0.0,0.0,173.79664730771242,5.9300000000000015,0.0,0.0,8.543361885551085e-06,0.0,72.19999694824219,2022-08-02 11:00:00
2022-08-02 12:00:00,0.002222530118397935,0.0,5.324074419807005,585.8000000000001,2.8220867453095595,0.54,295.7,-307.79112341293614,50.433350864845636,8.102702786013609,0.0,0.0,197.9039583718386,5.799999999999998,0.0,0.0,1.1667892011859595e-05,0.0,74.19999694824219,2022-08-02 12:00:00
2022-08-02 13:00:00,0.0026708348446409743,0.0,5.194069536994505,795.5,3.3359208877683355,0.2599999999999999,268.8,-307.79112341293614,51.90944509333349,10.946999286163857,0.0,0.0,233.93751081603764,5.879999999999998,0.0,0.0,1.5763678972075948e-05,0.0,76.19999694824219,2022-08-02 13:00:00
2022-08-02 14:00:00,0.0024955169590672173,0.0,5.384071978400755,700.1,3.1048071894838944,0.32,275.3,-307.79112341293614,46.16829263493329,15.047464350840169,0.0,0.0,217.73024298471918,5.409999999999998,0.0,0.0,2.1668348665209846e-05,0.0,78.69999694824219,2022-08-02 14:00:00
2022-08-02 15:00:00,0.0026819470605463896,0.0,5.194069536994505,649.5,3.3747110424143827,0.67,307.0,-307.79112341293614,42.39235617608235,16.046169816901312,0.0,0.0,236.65774085966325,5.1800000000000015,0.0,0.0,2.3106484536337884e-05,0.0,80.9000015258789,2022-08-02 15:00:00
2022-08-02 16:00:00,0.0014370588266482214,0.0,5.514076861213255,214.6,1.8475793820196864,0.9299999999999999,332.6,-307.79112341293614,29.959184836597693,14.412185229517208,0.0,0.0,129.5648596612445,3.899999999999999,0.0,0.0,2.075354673050478e-05,0.0,82.80000305175781,2022-08-02 16:00:00
2022-08-02 17:00:00,0.0013289988233026848,0.0,5.574074419807005,171.6,1.7331548279153526,0.9700000000000002,337.2,-307.79112341293614,28.646659171852182,14.445518353775364,0.0,0.0,121.54062999154442,3.770000000000001,0.0,0.0,2.080154642943652e-05,0.0,83.30000305175781,2022-08-02 17:00:00
2022-08-02 18:00:00,0.0012859940602002358,0.0,5.314064654182005,136.5,1.6835222110385655,0.9600000000000003,334.1,-307.79112341293614,34.50941273733718,17.659350757045857,0.0,0.0,118.06005259235762,4.369999999999999,0.0,0.0,2.5429465090146026e-05,0.0,84.30000305175781,2022-08-02 18:00:00
2022-08-02 19:00:00,0.0012260979802612728,0.0,5.22406831629138,99.5,1.6094474267729897,0.8800000000000002,326.5,-307.79112341293614,43.506268709254925,21.3916790663091,0.0,0.0,112.86542381418042,5.25,0.0,0.0,3.080401785548511e-05,0.0,84.0,2022-08-02 19:00:00
2022-08-02 20:00:00,0.0008603928939082951,0.0,4.95404878504138,61.5,1.1348365323703933,0.8599999999999998,323.7,-307.79112341293614,30.96366175205764,14.383716947097303,0.0,0.0,79.58247287555878,4.21,0.0,0.0,2.0712552403820116e-05,0.0,84.0999984741211,2022-08-02 20:00:00
2022-08-02 21:00:00,0.0006627268399207794,0.0,4.934059771369505,26.5,0.8822129367671722,0.8300000000000001,320.6,-307.79112341293614,28.310784140801587,12.758234068539386,0.0,0.0,61.866784429376736,3.9600000000000004,0.0,0.0,1.8371857058696715e-05,0.0,83.80000305175781,2022-08-02 21:00:00
2022-08-02 22:00:00,0.0006570703915885506,0.0,4.71405855066638,6.3,0.8796741357209203,0.9000000000000002,326.3,-307.79112341293614,26.817737207232376,14.501553531839965,-0.05885279914740863,0.0,61.68874639514308,3.909999999999999,0.0,0.0,2.088223708584955e-05,0.0,86.9000015258789,2022-08-02 22:00:00
2022-08-02 23:00:00,0.0006623166904219304,0.0,4.984047564338255,0.0,0.9168961675084234,0.9000000000000002,327.0,-307.7896798624548,26.98023733685069,18.200124186245493,-0.09167268528788448,0.0,64.29900897535346,3.810000000000001,0.0,0.0,0.0,2.311942380751015e-05,87.5999984741211,2022-08-02 23:00:00
